@relation wearable_data

@attribute ﻿Time {0:00:00,0:10:00,0:20:00,0:30:00,0:40:00,0:50:00,1:00:00,1:10:00,1:20:00,1:30:00,1:40:00,1:50:00,2:00:00,2:10:00,2:20:00,2:30:00,2:40:00,2:50:00,3:00:00,3:10:00,3:20:00,3:30:00,3:40:00,3:50:00,4:00:00,4:10:00,4:20:00,4:30:00,4:40:00,4:50:00,5:00:00,5:10:00,5:20:00,5:30:00,5:40:00,5:50:00,6:00:00,6:10:00,6:20:00,6:30:00,6:40:00,6:50:00,7:00:00,7:10:00,7:20:00,7:30:00,7:40:00,7:50:00,8:00:00,8:10:00,8:20:00,8:30:00,8:40:00,8:50:00,9:00:00,9:10:00,9:20:00,9:30:00,9:40:00,9:50:00,10:00:00,10:10:00,10:20:00,10:30:00,10:40:00,10:50:00,11:00:00,11:10:00,11:20:00,11:30:00,11:40:00,11:50:00,12:00:00,12:10:00,12:20:00,12:30:00,12:40:00,12:50:00,13:00:00,13:10:00,13:20:00,13:30:00,13:40:00,13:50:00,14:00:00,14:10:00,14:20:00,14:30:00,14:40:00,14:50:00,15:00:00,15:10:00,15:20:00,15:30:00,15:40:00,15:50:00,16:00:00,16:10:00,16:20:00,16:30:00,16:40:00,16:50:00,17:00:00,17:10:00,17:20:00,17:30:00,17:40:00,17:50:00,18:00:00,18:10:00,18:20:00,18:30:00,18:40:00,18:50:00,19:00:00,19:10:00,19:20:00,19:30:00,19:40:00,19:50:00,20:00:00,20:10:00,20:20:00,20:30:00,20:40:00,20:50:00,21:00:00,21:10:00,21:20:00,21:30:00,21:40:00,21:50:00,22:00:00,22:10:00,22:20:00,22:30:00,22:40:00,22:50:00,23:00:00,23:10:00,23:20:00,23:30:00,23:40:00,23:50:00}
@attribute HeartRate numeric
@attribute SpO2 numeric

@data
22:20:00,135,96
22:30:00,85,94
22:40:00,135,97
22:50:00,163,87
23:00:00,137,91
23:10:00,153,85
23:20:00,100,98
23:30:00,160,89
23:40:00,136,98
23:50:00,164,95
0:00:00,117,86
0:10:00,119,86
0:20:00,144,93
0:30:00,171,100
0:40:00,164,89
0:50:00,121,86
1:00:00,97,91
1:10:00,85,88
1:20:00,180,91
1:30:00,160,90
1:40:00,135,95
1:50:00,113,100
2:00:00,83,93
2:10:00,100,92
2:20:00,142,98
2:30:00,122,92
2:40:00,132,92
2:50:00,110,90
3:00:00,164,85
3:10:00,109,86
3:20:00,173,94
3:30:00,177,88
3:40:00,86,99
3:50:00,168,88
4:00:00,133,97
4:10:00,135,90
4:20:00,171,92
4:30:00,126,96
4:40:00,132,97
4:50:00,116,86
5:00:00,123,92
5:10:00,150,88
5:20:00,157,90
5:30:00,164,95
5:40:00,119,97
5:50:00,150,94
6:00:00,133,97
6:10:00,80,89
6:20:00,90,93
6:30:00,110,96
6:40:00,130,90
6:50:00,180,92
7:00:00,172,91
7:10:00,94,87
7:20:00,156,99
7:30:00,88,85
7:40:00,89,94
7:50:00,175,93
8:00:00,139,89
8:10:00,144,88
8:20:00,97,88
8:30:00,136,93
8:40:00,157,95
8:50:00,178,86
9:00:00,173,97
9:10:00,85,91
9:20:00,103,97
9:30:00,109,89
9:40:00,119,93
9:50:00,156,90
10:00:00,123,91
10:10:00,168,90
10:20:00,153,91
10:30:00,161,93
10:40:00,85,93
10:50:00,149,100
11:00:00,163,92
11:10:00,132,90
11:20:00,114,91
11:30:00,153,99
11:40:00,112,93
11:50:00,92,93
12:00:00,176,86
12:10:00,146,89
12:20:00,174,92
12:30:00,119,92
12:40:00,149,89
12:50:00,157,85
13:00:00,164,92
13:10:00,152,94
13:20:00,147,88
13:30:00,87,90
13:40:00,94,85
13:50:00,144,89
14:00:00,118,94
14:10:00,98,98
14:20:00,91,98
14:30:00,84,97
14:40:00,165,98
14:50:00,133,86
15:00:00,144,93
15:10:00,171,92
15:20:00,120,100
15:30:00,126,89
15:40:00,98,95
15:50:00,172,88
16:00:00,103,95
16:10:00,119,99
16:20:00,156,97
16:30:00,170,90
16:40:00,173,85
16:50:00,113,94
17:00:00,172,87
17:10:00,90,97
17:20:00,139,96
17:30:00,114,94
17:40:00,145,89
17:50:00,86,99
18:00:00,118,98
18:10:00,155,100
18:20:00,100,99
18:30:00,113,85
18:40:00,120,100
18:50:00,91,95
19:00:00,111,85
19:10:00,99,100
19:20:00,136,93
19:30:00,166,93
19:40:00,80,96
19:50:00,161,89
20:00:00,132,95
20:10:00,168,98
20:20:00,167,100
20:30:00,102,94
20:40:00,159,88
20:50:00,161,92
21:00:00,107,85
21:10:00,153,95
21:20:00,142,92
21:30:00,133,85
21:40:00,116,99
21:50:00,145,86
22:00:00,101,90
22:10:00,133,99
22:20:00,128,99
22:30:00,140,90
22:40:00,131,90
22:50:00,114,100
23:00:00,124,97
23:10:00,158,98
23:20:00,104,90
23:30:00,91,91
23:40:00,154,86
23:50:00,148,90
0:00:00,145,89
0:10:00,165,98
0:20:00,108,98
0:30:00,144,99
0:40:00,145,89
0:50:00,97,92
1:00:00,173,94
1:10:00,154,98
1:20:00,149,98
1:30:00,131,86
1:40:00,170,100
1:50:00,89,94
2:00:00,92,95
2:10:00,121,92
2:20:00,125,100
2:30:00,114,86
2:40:00,119,99
2:50:00,82,91
3:00:00,136,95
3:10:00,94,98
3:20:00,99,94
3:30:00,137,94
3:40:00,103,92
3:50:00,167,100
4:00:00,100,99
4:10:00,131,92
4:20:00,86,94
4:30:00,105,98
4:40:00,110,92
4:50:00,151,89
5:00:00,162,97
5:10:00,110,100
5:20:00,153,90
5:30:00,124,94
5:40:00,180,98
5:50:00,137,98
6:00:00,84,98
6:10:00,91,86
6:20:00,149,85
6:30:00,124,86
6:40:00,112,94
6:50:00,147,100
7:00:00,179,85
7:10:00,176,99
7:20:00,91,85
7:30:00,120,93
7:40:00,151,90
7:50:00,109,85
8:00:00,145,95
8:10:00,146,85
8:20:00,98,94
8:30:00,92,99
8:40:00,147,97
8:50:00,94,100
9:00:00,168,89
9:10:00,116,90
9:20:00,150,87
9:30:00,88,89
9:40:00,153,86
9:50:00,82,95
10:00:00,130,91
10:10:00,122,88
10:20:00,154,94
10:30:00,156,99
10:40:00,116,97
